Districts,Sewage_Gap_MLD,Water_quality_index,Mean_Temperature_Celcius,Mean_Rainfall_mm,GDDP_at_Current_Price_in_Crore,Number_of_Tourists,Number_of_ASI_Sites
Jaunpur,0.0,0.8823529411764706,0.5999999999999996,0.10111345170026986,0.2666666666666666,0.05084745762711865,0.3076923076923077
Pratapgarh,0.6180124223602484,0.9999999999999996,0.39999999999999947,1.0,0.19999999999999996,0.0,0.0
Prayagraj,0.9999999999999999,0.2941176470588234,0.7999999999999998,1.0,0.8666666666666666,1.0,0.6923076923076923
Sant Ravidas Nagar,0.3291925465838509,0.17647058823529393,0.0,0.08350887752031255,0.0,0.0,0.07692307692307693
Varanasi,0.6568322981366458,0.0,1.0,0.0,0.9999999999999999,1.0,1.0000000000000002
